categoria,secao,ano,mes,titulo,url
arquivo,ATOS,2013,,ATO Nº 136-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_136-13.pdf
arquivo,ATOS,2013,,ATO Nº 137-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_137-13.pdf
arquivo,ATOS,2013,,ATO Nº 138-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_138-13.pdf
arquivo,ATOS,2013,,ATO Nº 139-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_139-13.pdf
arquivo,ATOS,2013,,ATO Nº 140-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_140-13.pdf
arquivo,ATOS,2013,,ATO Nº 141-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_141-13.pdf
arquivo,ATOS,2013,,ATO Nº 142-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_142-13.pdf
arquivo,ATOS,2013,,ATO Nº 143-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_143-13.pdf
arquivo,ATOS,2013,,ATO Nº 144-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_144-13.pdf
arquivo,ATOS,2013,,ATO Nº 145-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_145-13.pdf
arquivo,ATOS,2013,,ATO Nº 146-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_146-13.pdf
arquivo,ATOS,2013,,ATO Nº 147-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_147-13.pdf
arquivo,ATOS,2013,,ATO Nº 148-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_148-13.pdf
arquivo,ATOS,2013,,ATO Nº 149-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_149-13.pdf
arquivo,ATOS,2013,,ATO Nº 150-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_150-13.pdf
arquivo,ATOS,2013,,ATO Nº 151-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_151-13.pdf
arquivo,ATOS,2013,,ATO Nº 152-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_152-13.pdf
arquivo,ATOS,2013,,ATO Nº 153-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_153-13.pdf
arquivo,ATOS,2013,,ATO Nº 154-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_154-13.pdf
arquivo,ATOS,2013,,ATO Nº 155-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_155-13.pdf
arquivo,ATOS,2013,,ATO Nº 156-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_156-13.pdf
arquivo,ATOS,2013,,ATO Nº 157-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_157-13.pdf
arquivo,ATOS,2013,,ATO Nº 158-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_158-13.pdf
arquivo,ATOS,2013,,ATO Nº 159-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_159-13.pdf
arquivo,ATOS,2013,,ATO Nº 160-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_160-13.pdf
arquivo,ATOS,2013,,ATO Nº 161-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_161-13.pdf
arquivo,ATOS,2013,,ATO Nº 162-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_162-13.pdf
arquivo,ATOS,2013,,ATO Nº 163-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_163-13.pdf
arquivo,ATOS,2013,,ATO Nº 164-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_164-13.pdf
arquivo,ATOS,2013,,ATO Nº 165-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_165-13.pdf
arquivo,ATOS,2013,,ATO Nº 166-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_166-13.pdf
arquivo,ATOS,2013,,ATO Nº 167-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_167-13.pdf
arquivo,ATOS,2013,,ATO Nº 168-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_168-13.pdf
arquivo,ATOS,2013,,ATO Nº 169-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_169-13.pdf
arquivo,ATOS,2013,,ATO Nº 170-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_170-13.pdf
arquivo,ATOS,2013,,ATO Nº 171-12,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_171-12.pdf
